country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,,,,,,,,,,,,,,,,0.28,0.32
Albania,,,,,,,0.16,0.32,0.49,0.65,0.82,0.98,1.17,1.36,1.54,1.73,3.81
Algeria,0.1,0.15,0.18,0.22,0.26,0.3,0.45,0.48,0.54,0.6,0.66,0.71,0.77,0.83,0.9,1.07,
Angola,,,,,,,,0.06,0.08,0.09,0.11,0.12,0.18,,,0.59,0.7
Antigua and Barbuda,,,,,,,,,,,,10.3,11.4,12.6,13.7,14.8,21.2
Argentina,0.72,0.88,0.99,1.36,3.44,3.57,4.15,4.78,5.3,5.75,6.94,7.78,7.97,8.16,8.34,9.03,
Armenia,,,,,,,,0.29,0.48,0.65,0.81,1.14,1.97,3.39,6.61,9.85,
Australia,15.2,16.2,18.6,20.9,24.2,27.8,29.2,33.2,37.1,42.5,47.2,51.8,56.9,60.8,,,
Austria,6.47,7.7,8.91,10.1,11.3,16.2,17.3,21,23.5,28.4,35.8,41.9,48,55.2,57.9,61,
Azerbaijan,,,,,,,,,,,,0.7,1.02,1.49,1.78,2.31,2.09
Bahamas,,,,,,,,,,,,,9.03,9.86,10.7,12.4,
Bahrain,,,,,,5.01,6.63,8.04,9.37,14.2,14.1,14.6,15.4,16.1,16.9,17.6,18.3
Bangladesh,,,,,,,,0.02,0.1,0.1,0.16,0.19,0.34,0.77,1.19,1.59,2.42
Barbados,,,,,,5.72,6.09,6.82,7.56,7.91,8.27,9.37,10.5,11.6,12.6,14.8,
Belarus,,,,,,,,,,,,,,,,0.81,
Belgium,8.79,9.95,12,13.9,15.8,17.8,19.2,20.6,21.5,21.9,22.3,23.2,27,31.8,34.9,38,42.2
Belize,,,,,,2.8,4.55,6.65,8.66,10.6,12.4,13.3,13.8,14.3,14.8,15.2,15.6
Benin,,,,,,0.05,0.06,0.08,0.1,0.13,0.14,0.15,0.2,0.33,0.37,0.38,0.57
Bhutan,,,,,,,,,0.14,0.16,0.26,0.35,0.49,0.48,0.52,0.6,1.79
Bolivia,,0.22,0.24,0.28,0.3,0.33,0.37,0.38,0.75,1.23,1.68,2,2.19,2.26,2.33,2.4,
Bosnia and Herzegovina,,,,,,,,,,,,3.67,3.98,4.39,4.91,5.43,6.19
Botswana,,,,,0.63,0.93,1.21,1.78,2.34,2.88,3.42,3.68,3.95,4.23,4.52,4.87,5.11
Brazil,0.3,0.43,0.62,0.83,1.13,1.67,2.08,2.53,2.96,3.56,4.89,6.12,7.27,8.63,13.1,16.1,
Brunei,,,1.1,1.79,2.78,3.73,4.3,4.83,5.35,6.14,6.9,7.32,7.73,8.11,8.48,8.83,
Bulgaria,,,1.05,1.18,1.43,1.69,1.95,2.21,2.47,2.73,4.52,4.78,5.13,5.51,5.93,,
Burkina Faso,0.01,,,0.02,0.02,0.03,0.05,0.08,0.09,0.11,0.13,0.26,0.42,0.48,0.55,0.6,0.66
Burundi,,,,,,,,,,,0.06,0.06,0.06,0.18,0.47,0.73,0.83
Cambodia,,,,,,0.04,0.06,0.08,0.09,0.1,0.12,0.15,0.2,0.24,0.28,0.31,0.33
Cameroon,,,,,,0.15,0.18,0.22,0.25,0.27,0.34,0.4,0.58,0.76,1,1.23,
Canada,10.5,12.5,14.4,17.1,19.6,21.8,24.7,27.5,31.2,36.5,42,45.8,48.9,52.1,70.1,87.7,94.6
Cape Verde,,,,,,,,0.36,1.16,4.54,5.55,6.5,7.41,8.48,9.69,10.8,12
Central African Republic,,,,,,,,,0.1,0.13,0.16,0.18,0.21,0.25,0.28,0.3,
Chad,,,,,,,,,0.1,0.13,0.13,0.14,0.15,0.15,0.16,0.16,
Chile,0.93,1.31,1.68,2.13,2.61,3.29,3.82,4.4,6.23,7.58,9.21,10.5,11.4,12.5,13.3,14.1,
China,0.04,0.07,0.09,0.12,0.17,0.23,0.37,0.6,0.89,1.23,1.62,1.95,2.75,3.88,4.05,4.83,5.6
Colombia,,,0.88,1.05,1.32,1.63,2.34,3.04,3.19,3.38,3.56,3.62,3.68,3.77,3.91,4.15,5.38
Comoros,,,,,,0.03,,,0.23,0.29,0.43,0.56,0.57,0.61,0.64,0.68,
"Congo, Dem. Rep.",,,,,,,,,,,,0.01,0.02,0.02,0.02,0.02,
"Congo, Rep.",,,,,,,,,0.28,0.3,0.32,0.34,0.36,0.4,0.44,0.48,
Costa Rica,,,,,,,,6.84,8,10.4,15.3,17.4,19.9,21.8,21.9,23.1,
