country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,0.45,0.55
Angola,,,,,,,,,0.18,0.4,0.44,0.43,0.48,0.58
Argentina,,,,,,,,,,0.61,0.75,0.78,0.8,0.72
Armenia,,,,,,,,0.33,0.91,0.93,0.94,0.94,0.93,0.92
Australia,,,0.81,0.82,0.84,0.85,0.84,0.84,0.84,0.85,0.87,0.87,0.87,0.87
Austria,,,0.47,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Bahamas,,,,,,,,,,,0.11,0.9,0.7,0.78
Bahrain,,,0.49,0.9,0.59,0.96,0.96,0.97,0.97,0.97,0.98,0.97,0.98,0.99
Belgium,,,,,,,0.86,0.86,0.86,0.88,0.87,0.87,0.87,0.87
Bolivia,,,0.51,0.76,0.87,0.91,0.91,0.85,0.85,0.89,0.87,0.84,0.87,0.78
Botswana,,,,,,,0.74,0.85,0.95,0.92,0.88,0.85,0.87,0.86
Brazil,0.47,0.8,0.81,0.86,0.83,0.87,0.86,0.93,0.92,0.94,0.88,0.7,0.8,0.83
Bulgaria,,,,,,,,,,,,,0.31,0.31
Burkina Faso,,,,,,,,0.09,0.91,0.91,0.91,0.91,0.91,0.91
Burundi,,,,,,,,,0.84,0.96,0.96,0.93,0.92,0.95
Cameroon,,,,,,,,,0.34,0.61,0.68,0.7,0.65,0.65
Canada,,,,,,,,,,,,0.79,0.79,0.79
Colombia,,,,0.55,0.74,0.78,0.87,0.87,0.89,0.91,0.9,0.9,0.9,0.9
"Congo, Rep.",,,,,,,,,0.6,0.8,0.64,0.64,0.72,0.71
Costa Rica,,,,,,,,,,,,,,0.59
Cote d'Ivoire,,,,,,,,,,,,0.4,0.59,0.7
Djibouti,,,,,,,,,,0.86,0.72,0.8,0.87,0.88
Dominican Republic,,,,,,,0.09,0.69,0.86,0.83,0.75,0.82,0.82,0.8
Ecuador,,,0.82,0.97,0.94,0.9,0.87,0.83,0.81,0.78,0.8,0.84,0.85,0.85
El Salvador,0.25,0.78,0.83,0.62,0.9,0.9,0.93,0.92,0.96,0.93,0.93,0.84,0.82,0.82
Eritrea,,,,,,,,,0.25,0.96,0.96,0.96,0.96,0.96
Estonia,,,,,,,,,0.32,0.64,0.85,0.87,0.85,0.81
Eswatini,,,,,,,,,,0.36,0.95,0.86,0.9,0.87
Ethiopia,,,,,,,,,0.56,0.6,0.63,0.67,0.66,0.68
Fiji,,,,,,,,0.85,0.99,0.99,0.99,0.99,0.99,0.99
Finland,,,,,0.93,0.93,0.93,0.93,0.92,0.91,0.84,0.8,0.82,0.83
Gambia,,,,,,,,0.07,0.92,0.97,0.95,0.93,0.93,0.9
Georgia,,,,,,,,0.41,0.69,0.72,0.75,0.76,0.79,0.81
Germany,,,,,,,,,0.67,0.68,0.68,0.68,0.68,0.68
Ghana,,,,,,,0.49,0.87,0.98,0.88,0.94,0.97,0.94,0.93
Greece,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2
Guatemala,,,,,0.38,0.71,0.81,0.81,0.54,0.79,0.82,0.8,0.87,0.86
Guinea-Bissau,,,,,,,,,,,0.61,0.88,0.88,0.84
Guyana,,,,,0.39,0.77,0.91,0.94,0.95,0.96,0.96,0.97,0.91,0.99
Haiti,,,,,,,,,0.23,0.58,0.58,0.58,0.58,0.48
Honduras,,,,0.81,0.97,0.97,0.98,0.98,0.99,0.99,0.95,0.9,0.91,0.88
India,,,,,,,,,,,0.04,0.13,0.35,0.53
Iraq,,,,,,,0.31,0.52,0.29,0.43,0.53,0.63,0.6,0.05
Ireland,,,,,,,,,,,,0.89,0.89,0.89
Israel,,,,,,,0.82,0.8,0.81,0.8,0.81,0.81,0.81,0.81
Italy,,,,,,,,,,,,0.14,0.19,0.61
Jordan,,,,,,,,,,0.88,0.97,0.96,0.93,0.86
Kenya,,,,,,,,,0.19,0.66,0.74,0.67,0.92,0.92
Kiribati,,,,,,,,,,0.37,0.79,0.91,0.97,0.99
Kuwait,,,,,,,,,,,,0.03,0.69,0.69
Latvia,,,,,,,,,,,0.43,0.78,0.79,0.85
Lesotho,,,,,,,,,,,,,0.7,0.87
Liberia,,,,,,,,,,,0.48,0.74,0.75,0.63
Libya,,,,,,,,,0.86,0.93,0.97,0.96,0.73,0.73
Lithuania,,,,,,,,,,,,,0.01,0.45
Luxembourg,,,,0.86,0.87,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Madagascar,,,,,,,,,0.5,0.69,0.77,0.74,0.75,0.79
Malawi,,,,,,,0.07,0.81,0.83,0.84,0.81,0.85,0.9,0.92
Mali,,,,,,,,,0.23,0.35,0.62,0.63,0.63,0.63
Marshall Islands,,,,0.71,0.25,0.43,0.6,0.52,0.44,0.41,0.38,0.46,0.42,0.6
Mauritania,,,,,,,,,0.05,0.56,0.73,0.76,0.76,0.76
Mauritius,,,,,,,,,,0.66,0.92,0.9,0.95,0.96
Mexico,,,0.47,0.93,0.9,0.98,0.99,0.81,0.85,0.81,0.72,0.7,0.77,0.82
"Micronesia, Fed. Sts.",,,,,0.7,0.4,0.45,0.33,0.4,0.46,0.35,0.35,0.52,0.36
Moldova,,,,,,,0.21,0.65,0.62,0.62,0.7,0.66,0.67,0.66
Morocco,,,,,0.02,0.8,0.88,0.9,0.9,0.9,0.99,0.99,0.99,0.98
Mozambique,,,,,,,,,,0.17,0.7,0.8,0.8,0.88
Namibia,,,,,,,,,,0.87,0.86,0.86,0.92,0.9
New Zealand,,,,,,,,,,,0.66,0.89,0.86,0.86
Nicaragua,,0.66,0.89,0.94,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Niger,,,,,,,,,0.19,0.47,0.8,0.85,0.79,0.78
Norway,,,,,,,,,,,,,0.93,0.95
